id,year,quarter,name,type,count,amount
86,2022,2,Merchant payments,TOTAL,4765203787,2847096877386.341
87,2022,2,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535
88,2022,2,Recharge & bill payments,TOTAL,845751926,523046092987.93964
89,2022,2,Financial Services,TOTAL,3272822,3889787479.819907
90,2022,2,Others,TOTAL,11241480,6711034131.16017
91,2022,3,Merchant payments,TOTAL,5618132071,3151614767860.314
92,2022,3,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29
93,2022,3,Recharge & bill payments,TOTAL,956164949,607048699730.3645
94,2022,3,Financial Services,TOTAL,3959631,4514223164.469998
95,2022,3,Others,TOTAL,10005043,6725900102.770244
96,2022,4,Merchant payments,TOTAL,6565690145,3673601044800.037
97,2022,4,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227
98,2022,4,Recharge & bill payments,TOTAL,991049281,649776847580.25
99,2022,4,Financial Services,TOTAL,4623387,5360528394.309982
100,2022,4,Others,TOTAL,10013085,7361492606.590162
101,2023,1,Merchant payments,TOTAL,7205999708,3745994748195.0
102,2023,1,Peer-to-peer payments,TOTAL,4792478560,15924876501456.0
103,2023,1,Recharge & bill payments,TOTAL,1076952638,829952832616.0
104,2023,1,Financial Services,TOTAL,4884759,5673343900.0
105,2023,1,Others,TOTAL,10259195,7571900579.0
106,2023,2,Merchant payments,TOTAL,8529595637,4277821161887.0
107,2023,2,Peer-to-peer payments,TOTAL,5374546962,17722778868673.0
108,2023,2,Recharge & bill payments,TOTAL,1190947064,904758857308.0
109,2023,2,Financial Services,TOTAL,5195942,6364033676.0
110,2023,2,Others,TOTAL,9341245,6919677602.0
111,2023,3,Merchant payments,TOTAL,9868299757,4686944326058.0
112,2023,3,Peer-to-peer payments,TOTAL,5929662466,18342686827713.0
113,2023,3,Recharge & bill payments,TOTAL,1229068434,967694654180.0
114,2023,3,Financial Services,TOTAL,6273522,8553479441.0
115,2023,3,Others,TOTAL,8491944,6397985054.0
116,2023,4,Merchant payments,TOTAL,11107996161,5419672580085.0
117,2023,4,Peer-to-peer payments,TOTAL,6643982862,20533815852133.0
118,2023,4,Recharge & bill payments,TOTAL,1247192050,1077506924551.0
119,2023,4,Financial Services,TOTAL,7517384,9998159518.0
120,2023,4,Others,TOTAL,8651416,6391200449.0
121,2024,1,Merchant payments,TOTAL,12520741960,5962442621632.0
122,2024,1,Peer-to-peer payments,TOTAL,7335480797,22327480157794.0
123,2024,1,Recharge & bill payments,TOTAL,1365204965,1150335013422.0
124,2024,1,Financial Services,TOTAL,7419656,11806228360.0
125,2024,1,Others,TOTAL,8290191,6518078355.0
126,2024,2,Merchant payments,TOTAL,14634736361,6800938567813.0
