id,year,quarter,state,registered_users,app_opens
154,2021,4,andhra pradesh,22489029,
155,2021,4,rajasthan,21977202,
156,2021,4,telangana,20917649,
157,2021,4,west bengal,20644527,
158,2021,4,tamil nadu,20433142,
159,2021,4,madhya pradesh,18456243,
160,2021,4,gujarat,18139201,
161,2022,1,maharashtra,48227630,
162,2022,1,uttar pradesh,38999692,
163,2022,1,karnataka,31200349,
164,2022,1,andhra pradesh,23857951,
165,2022,1,rajasthan,23398857,
166,2022,1,telangana,22150612,
167,2022,1,west bengal,21919787,
168,2022,1,tamil nadu,21667020,
169,2022,1,madhya pradesh,19656147,
170,2022,1,gujarat,19265314,
171,2022,2,maharashtra,50802786,
172,2022,2,uttar pradesh,41247289,
173,2022,2,karnataka,32831447,
174,2022,2,andhra pradesh,25157264,
175,2022,2,rajasthan,24716181,
176,2022,2,telangana,23314363,
177,2022,2,west bengal,23124388,
178,2022,2,tamil nadu,22829720,
179,2022,2,madhya pradesh,20766417,
180,2022,2,gujarat,20321596,
181,2022,3,maharashtra,53432602,
182,2022,3,uttar pradesh,43537920,
183,2022,3,karnataka,34493994,
184,2022,3,andhra pradesh,26496330,
185,2022,3,rajasthan,26042948,
186,2022,3,telangana,24506111,
187,2022,3,west bengal,24372048,
188,2022,3,tamil nadu,24019964,
189,2022,3,madhya pradesh,21884220,
190,2022,3,gujarat,21394721,
191,2022,4,maharashtra,55954028,
192,2022,4,uttar pradesh,45648650,
193,2022,4,karnataka,36081698,
194,2022,4,andhra pradesh,27778016,
195,2022,4,rajasthan,27255927,
196,2022,4,telangana,25656381,
197,2022,4,west bengal,25536381,
198,2022,4,tamil nadu,25136112,
199,2022,4,madhya pradesh,22913924,
200,2022,4,gujarat,22412353,
201,2023,1,maharashtra,58470784,
202,2023,1,uttar pradesh,47806049,
203,2023,1,karnataka,37681426,
204,2023,1,andhra pradesh,29065863,
205,2023,1,rajasthan,28523031,
206,2023,1,telangana,26804259,
207,2023,1,west bengal,26732895,
208,2023,1,tamil nadu,26270663,
209,2023,1,madhya pradesh,24002818,
210,2023,1,gujarat,23436230,
211,2023,2,maharashtra,60766850,
212,2023,2,uttar pradesh,49829833,
213,2023,2,karnataka,39122314,
214,2023,2,andhra pradesh,30240061,
215,2023,2,rajasthan,29745609,
216,2023,2,west bengal,27827662,
217,2023,2,telangana,27814633,
218,2023,2,tamil nadu,27317599,
219,2023,2,madhya pradesh,25042930,
220,2023,2,gujarat,24396768,
221,2023,3,maharashtra,63150997,
222,2023,3,uttar pradesh,51870932,
223,2023,3,karnataka,40634390,
224,2023,3,andhra pradesh,31493897,
225,2023,3,rajasthan,30997182,
226,2023,3,west bengal,28966414,
227,2023,3,telangana,28896668,
228,2023,3,tamil nadu,28405436,
229,2023,3,madhya pradesh,26109033,
230,2023,3,gujarat,25383429,
231,2023,4,maharashtra,65422120,
232,2023,4,uttar pradesh,53799813,
233,2023,4,karnataka,42031396,
234,2023,4,andhra pradesh,32658698,
235,2023,4,rajasthan,32157348,
236,2023,4,west bengal,30064546,
237,2023,4,telangana,29902636,
238,2023,4,tamil nadu,29452801,
239,2023,4,madhya pradesh,27078072,
240,2023,4,gujarat,26312655,
241,2024,1,maharashtra,68016876,
242,2024,1,uttar pradesh,56028765,
243,2024,1,karnataka,43668141,
244,2024,1,andhra pradesh,34008709,
245,2024,1,rajasthan,33505514,
246,2024,1,west bengal,31306843,
247,2024,1,telangana,31082447,
248,2024,1,tamil nadu,30638750,
249,2024,1,madhya pradesh,28238554,
250,2024,1,gujarat,27381972,
251,2024,2,maharashtra,70597223,
252,2024,2,uttar pradesh,58199149,
253,2024,2,karnataka,45290606,
254,2024,2,andhra pradesh,35303719,
255,2024,2,rajasthan,34773619,
256,2024,2,west bengal,32540397,
257,2024,2,telangana,32232171,
258,2024,2,tamil nadu,31818880,
259,2024,2,madhya pradesh,29324466,
260,2024,2,gujarat,28439885,
261,2024,3,maharashtra,69641161,
262,2024,3,uttar pradesh,67922000,
263,2024,3,karnataka,44548391,
264,2024,3,rajasthan,35583171,
265,2024,3,west bengal,33612828,
266,2024,3,tamil nadu,32965209,
267,2024,3,bihar,31899315,
268,2024,3,madhya pradesh,31764084,
269,2024,3,telangana,30776242,
270,2024,3,andhra pradesh,29145303,
271,2024,4,maharashtra,71807805,
272,2024,4,uttar pradesh,70474113,
273,2024,4,karnataka,45917653,
274,2024,4,rajasthan,36828375,
275,2024,4,west bengal,34750181,
276,2024,4,tamil nadu,33966610,
277,2024,4,bihar,33345285,
278,2024,4,madhya pradesh,32876660,
279,2024,4,telangana,31726856,
280,2024,4,andhra pradesh,29984431,
