id,year,quarter,state,count,amount
113,2018,4,andhra pradesh,30759548,51473779406.840416
114,2018,4,tripura,448059,624885599.4644469
115,2018,4,lakshadweep,1642,4463213.698222831
116,2018,4,manipur,236110,605683559.3060112
117,2018,4,maharashtra,46090223,79518937047.82959
118,2018,4,dadra & nagar haveli & daman & diu,404082,658750616.8008878
119,2018,4,meghalaya,161132,337585679.00467324
120,2018,4,andaman & nicobar islands,23758,90548336.07445517
121,2018,4,haryana,12950183,25390876016.455025
122,2018,4,rajasthan,20959723,37909087083.33885
123,2018,4,ladakh,35211,135522842.49263746
124,2018,4,punjab,4887137,10781982573.649624
125,2018,4,assam,3734172,5888022859.01307
126,2018,4,jharkhand,6284043,10241916641.12223
127,2018,4,odisha,21142798,23429869571.55922
128,2018,4,bihar,15732401,28397997168.57623
129,2018,4,kerala,4310654,7747361236.812299
130,2018,4,karnataka,44812071,73008386576.05942
131,2018,4,chandigarh,905116,2032591591.779975
132,2018,4,telangana,28921154,49509088448.04927
133,2018,4,himachal pradesh,1307883,2621298968.1392584
134,2018,4,west bengal,36513548,40489619211.70402
135,2018,4,gujarat,14733303,24830987102.78186
136,2018,4,sikkim,154533,383141358.07825375
137,2018,4,nagaland,139333,388013467.5456239
138,2018,4,mizoram,55242,190426852.52952954
139,2018,4,chhattisgarh,5365844,9416412664.971258
140,2018,4,jammu & kashmir,2721310,5664720265.697432
141,2018,4,goa,514755,1153005078.9224057
142,2018,4,arunachal pradesh,176429,504040029.0917605
143,2018,4,delhi,29187719,39722857618.706436
144,2018,4,uttarakhand,3178761,5654272137.963844
145,2019,1,puducherry,501092,906473024.3065231
146,2019,1,tamil nadu,32275045,56204036816.128555
147,2019,1,uttar pradesh,57324504,76524180134.0167
148,2019,1,madhya pradesh,37301049,48070279522.04201
149,2019,1,andhra pradesh,57264522,83760595917.0792
150,2019,1,tripura,580926,756894941.6158216
151,2019,1,lakshadweep,2481,8786130.479338994
152,2019,1,manipur,265409,659898060.4240801
153,2019,1,maharashtra,75079069,111420690920.33997
154,2019,1,dadra & nagar haveli & daman & diu,661814,843369776.0499002
155,2019,1,meghalaya,208741,399037162.15343595
156,2019,1,andaman & nicobar islands,30486,102299740.67348987
157,2019,1,haryana,22135775,34051655721.631077
158,2019,1,rajasthan,43956040,61141158575.55252
159,2019,1,ladakh,46145,152859920.9491272
160,2019,1,punjab,7172137,13574490001.853222
161,2019,1,assam,4533005,8002099536.451059
162,2019,1,jharkhand,9387708,13627236449.278034
163,2019,1,odisha,34031942,35427127930.698456
164,2019,1,bihar,26356234,41502827514.52612
165,2019,1,kerala,6469039,10235031134.849785
166,2019,1,karnataka,86587609,117976382145.74966
167,2019,1,chandigarh,1274476,2396032050.444029
168,2019,1,telangana,65290702,95523262035.66321
169,2019,1,himachal pradesh,2168718,3381481442.991081
170,2019,1,west bengal,47626388,50164672623.87851
171,2019,1,gujarat,24991451,35856080308.47724
172,2019,1,sikkim,240287,457993634.3840939
173,2019,1,nagaland,168579,441941712.41233104
174,2019,1,mizoram,70306,218160895.39740258
175,2019,1,chhattisgarh,7887669,12544556385.328796
176,2019,1,jammu & kashmir,3584987,5951835476.521047
177,2019,1,goa,738812,1475323397.276577
178,2019,1,arunachal pradesh,226506,609950106.3139492
179,2019,1,delhi,47007327,58469131789.49733
180,2019,1,uttarakhand,5546001,7183529175.274033
181,2019,2,puducherry,580077,1211446910.127807
182,2019,2,tamil nadu,32171737,64207676025.75553
183,2019,2,uttar pradesh,58883500,98917519370.67831
184,2019,2,madhya pradesh,40846013,68334566380.56182
185,2019,2,andhra pradesh,56409015,113634518758.22931
186,2019,2,tripura,532558,841821482.8473747
187,2019,2,lakshadweep,2926,9242524.13698889
188,2019,2,manipur,257425,722789942.1495004
189,2019,2,maharashtra,101149853,153294470088.05945
190,2019,2,dadra & nagar haveli & daman & diu,489656,824441276.56507
191,2019,2,meghalaya,232286,492931289.1072781
192,2019,2,andaman & nicobar islands,33689,120254709.6756632
193,2019,2,haryana,22741816,42501539813.21669
194,2019,2,rajasthan,50009286,89107313172.66756
195,2019,2,ladakh,68772,259255506.9974248
196,2019,2,punjab,8509830,18614793394.772213
197,2019,2,assam,5454929,10954969189.126175
198,2019,2,jharkhand,10128211,18622701305.54623
199,2019,2,odisha,29512024,44754854871.67608
200,2019,2,bihar,29960479,63132438283.54397
201,2019,2,kerala,7283826,13031371561.185568
202,2019,2,karnataka,115401604,163702024226.0841
203,2019,2,chandigarh,1252470,2693116098.9444556
204,2019,2,telangana,89610379,155676443182.43457
205,2019,2,himachal pradesh,2502306,4875883973.61058
206,2019,2,west bengal,47023535,57105691119.11844
207,2019,2,gujarat,28981842,49320615219.26732
208,2019,2,sikkim,388244,738894243.4359412
209,2019,2,nagaland,188753,520066682.1585048
210,2019,2,mizoram,75671,248016708.13501447
211,2019,2,chhattisgarh,9389945,17002355688.82225
212,2019,2,jammu & kashmir,2296355,6100142201.563448
213,2019,2,goa,768441,1591867103.3876143
214,2019,2,arunachal pradesh,258656,752655874.3550282
215,2019,2,delhi,57171512,81706816063.62862
216,2019,2,uttarakhand,4813275,8588532850.9184885
217,2019,3,puducherry,716826,1460708357.4554102
218,2019,3,tamil nadu,41410183,78959604643.63503
219,2019,3,uttar pradesh,68623959,111268137475.02843
220,2019,3,madhya pradesh,53610411,77676321491.22867
221,2019,3,andhra pradesh,76288614,139447944254.78943
222,2019,3,tripura,711717,1017377422.817224
223,2019,3,lakshadweep,3104,9651761.463768471
224,2019,3,manipur,345008,863552002.562933
225,2019,3,maharashtra,148735581,199617506744.94272
226,2019,3,dadra & nagar haveli & daman & diu,638751,961471473.8483732
227,2019,3,meghalaya,306550,612218602.153532
228,2019,3,andaman & nicobar islands,33770,114071776.08729392
229,2019,3,haryana,30343531,52489119199.44011
230,2019,3,rajasthan,67303617,112468290031.92343
231,2019,3,ladakh,92396,331129527.19382226
232,2019,3,punjab,10706812,22905815605.843315
233,2019,3,assam,5942571,12950443620.426579
234,2019,3,jharkhand,14220647,21465973993.35938
235,2019,3,odisha,41422272,57304577359.217094
236,2019,3,bihar,32139900,67692783254.273834
237,2019,3,kerala,9286096,16429809722.064445
238,2019,3,karnataka,170733735,214536720438.18292
239,2019,3,chandigarh,1506543,3269682087.6608405
240,2019,3,telangana,121495376,201930021130.42365
241,2019,3,himachal pradesh,2735180,5572018781.123304
242,2019,3,west bengal,66444829,70540532616.82985
243,2019,3,gujarat,38228649,59462694964.26753
244,2019,3,sikkim,552436,884716448.4404289
245,2019,3,nagaland,261878,650956471.7134112
246,2019,3,mizoram,98094,278793899.9513421
247,2019,3,chhattisgarh,12243111,19803259167.45372
248,2019,3,jammu & kashmir,1116526,3744230491.7824554
249,2019,3,goa,1092416,2000367191.496843
250,2019,3,arunachal pradesh,370234,912645034.7958709
251,2019,3,delhi,69537876,103196812046.45712
252,2019,3,uttarakhand,5710476,9729032070.017406
253,2019,4,puducherry,1012655,1932028317.878899
254,2019,4,tamil nadu,56596411,103190865512.53719
255,2019,4,uttar pradesh,86905005,145538926507.3059
256,2019,4,madhya pradesh,68131989,104687926790.86589
257,2019,4,andhra pradesh,107218103,200948315488.80518
258,2019,4,tripura,801824,1215400160.2581887
259,2019,4,lakshadweep,3765,11269913.40492385
260,2019,4,manipur,449344,1200897682.088641
261,2019,4,maharashtra,201260620,272994428799.5649
262,2019,4,dadra & nagar haveli & daman & diu,768971,1226641262.0110402
263,2019,4,meghalaya,365981,742436471.7902198
264,2019,4,andaman & nicobar islands,35159,136838530.5173779
265,2019,4,haryana,37825985,69359719869.10008
266,2019,4,rajasthan,85074242,159452410049.68317
267,2019,4,ladakh,84706,324689360.02811134
268,2019,4,punjab,13698625,29989802246.19331
269,2019,4,assam,6760510,15281983895.512564
