id,year,quarter,state,registered_users,app_opens
150,2019,1,tripura,183254,0
151,2019,1,lakshadweep,1416,0
152,2019,1,manipur,99527,0
153,2019,1,maharashtra,16284451,0
154,2019,1,dadra & nagar haveli & daman & diu,140532,0
155,2019,1,meghalaya,61487,0
156,2019,1,andaman & nicobar islands,18596,0
157,2019,1,haryana,4538767,0
158,2019,1,rajasthan,7712204,0
159,2019,1,ladakh,29649,0
160,2019,1,punjab,2226590,0
161,2019,1,assam,1259085,0
162,2019,1,jharkhand,2279329,0
163,2019,1,odisha,4320744,0
164,2019,1,bihar,5745117,0
165,2019,1,kerala,2136624,0
166,2019,1,karnataka,10266174,0
167,2019,1,chandigarh,209175,0
168,2019,1,telangana,7963425,0
169,2019,1,himachal pradesh,653205,0
170,2019,1,west bengal,7449425,0
171,2019,1,gujarat,6652536,0
172,2019,1,sikkim,58956,0
173,2019,1,nagaland,53911,0
174,2019,1,mizoram,23670,0
175,2019,1,chhattisgarh,1908898,0
176,2019,1,jammu & kashmir,530669,0
177,2019,1,goa,238152,0
178,2019,1,arunachal pradesh,76957,0
179,2019,1,delhi,5499263,0
180,2019,1,uttarakhand,1224955,0
181,2019,2,puducherry,156458,661932
182,2019,2,tamil nadu,7429609,33658961
183,2019,2,uttar pradesh,14316349,78394040
184,2019,2,madhya pradesh,7301172,50642151
185,2019,2,andhra pradesh,9389003,81375251
186,2019,2,tripura,217644,953627
187,2019,2,lakshadweep,1747,4580
188,2019,2,manipur,117747,464829
189,2019,2,maharashtra,18776975,109967705
190,2019,2,dadra & nagar haveli & daman & diu,158580,860686
191,2019,2,meghalaya,74746,395764
192,2019,2,andaman & nicobar islands,21731,52640
193,2019,2,haryana,5178030,31929195
194,2019,2,rajasthan,8783935,62787336
195,2019,2,ladakh,35516,157317
196,2019,2,punjab,2600112,10928094
197,2019,2,assam,1500128,7350326
198,2019,2,jharkhand,2604854,14929066
199,2019,2,odisha,4845359,33955545
200,2019,2,bihar,6589759,39607022
201,2019,2,kerala,2550167,8673220
202,2019,2,karnataka,11968087,113024811
203,2019,2,chandigarh,240439,1220176
204,2019,2,telangana,9046007,80842302
205,2019,2,himachal pradesh,772603,3321711
206,2019,2,west bengal,8612795,49514201
207,2019,2,gujarat,7574645,34890301
208,2019,2,sikkim,70999,398520
209,2019,2,nagaland,66891,362497
210,2019,2,mizoram,28696,133025
211,2019,2,chhattisgarh,2191066,13206373
212,2019,2,jammu & kashmir,631193,2705373
213,2019,2,goa,278940,1352232
214,2019,2,arunachal pradesh,95885,502873
215,2019,2,delhi,6165448,43731570
216,2019,2,uttarakhand,1414339,7454279
217,2019,3,puducherry,177868,2476922
218,2019,3,tamil nadu,8428835,124690342
219,2019,3,uttar pradesh,16044607,268142606
220,2019,3,madhya pradesh,8180664,192353380
221,2019,3,andhra pradesh,10458693,310953542
222,2019,3,tripura,245456,3350991
223,2019,3,lakshadweep,2117,15038
224,2019,3,manipur,136316,1594205
225,2019,3,maharashtra,21313081,439998413
226,2019,3,dadra & nagar haveli & daman & diu,176929,3126189
227,2019,3,meghalaya,87395,1387814
228,2019,3,andaman & nicobar islands,23931,171107
229,2019,3,haryana,5783752,118332587
230,2019,3,rajasthan,9797304,238338999
231,2019,3,ladakh,39173,503126
232,2019,3,punjab,2962713,40860886
233,2019,3,assam,1731523,25393673
234,2019,3,jharkhand,2915511,55504460
235,2019,3,odisha,5387209,130181456
236,2019,3,bihar,7380265,126521298
237,2019,3,kerala,2990963,31471694
238,2019,3,karnataka,13635075,445683660
239,2019,3,chandigarh,267337,4625196
240,2019,3,telangana,10090557,318124511
241,2019,3,himachal pradesh,876184,10720741
242,2019,3,west bengal,9643222,176559011
243,2019,3,gujarat,8429299,129441484
244,2019,3,sikkim,82128,1316804
245,2019,3,nagaland,80077,1244022
246,2019,3,mizoram,34134,457834
247,2019,3,chhattisgarh,2435058,46362341
248,2019,3,jammu & kashmir,658455,3843919
249,2019,3,goa,317194,4753892
250,2019,3,arunachal pradesh,112149,1811700
251,2019,3,delhi,6782286,163381027
252,2019,3,uttarakhand,1585859,24660988
253,2019,4,puducherry,204292,3263122
254,2019,4,tamil nadu,9620493,155011717
255,2019,4,uttar pradesh,17949542,324068625
256,2019,4,madhya pradesh,9165241,237844976
257,2019,4,andhra pradesh,11757883,411201518
258,2019,4,tripura,272298,3610807
259,2019,4,lakshadweep,2427,17760
260,2019,4,manipur,155358,1855488
261,2019,4,maharashtra,23745297,543654112
262,2019,4,dadra & nagar haveli & daman & diu,197598,3770543
263,2019,4,meghalaya,100030,1490542
264,2019,4,andaman & nicobar islands,25960,177012
265,2019,4,haryana,6366679,136721888
266,2019,4,rajasthan,10925031,288904693
